5.42101e-18 	1.07767e-14 	0.0279055 	29.7633 	9.26197e-05
0.0100503 	1.07728e-14 	0.0284072 	27.7386 	0.000436789
0.0201005 	1.07689e-14 	0.028909 	25.7139 	0.000780959
0.0301508 	1.07651e-14 	0.0294107 	23.6892 	0.00112513
0.040201 	1.07612e-14 	0.0299124 	21.6644 	0.0014693
0.0502513 	1.07573e-14 	0.0304217 	19.6288 	0.00182149
0.0603015 	1.0754e-14 	0.0312253 	17.1676 	0.00248657
0.0703518 	1.07507e-14 	0.0320289 	14.7065 	0.00315165
0.080402 	1.07474e-14 	0.0328325 	12.2453 	0.00381673
0.0904523 	1.07441e-14 	0.0336361 	9.78408 	0.00448181
0.100503 	1.07407e-14 	0.0344369 	7.41588 	0.00515224
0.110553 	1.07362e-14 	0.0351848 	6.8145 	0.00592417
0.120603 	1.07316e-14 	0.0359327 	6.21312 	0.00669611
0.130653 	1.07271e-14 	0.0366806 	5.61174 	0.00746804
0.140704 	1.07226e-14 	0.0374285 	5.01036 	0.00823998
0.150754 	1.07192e-14 	0.0381878 	4.43568 	0.00902205
0.160804 	1.07295e-14 	0.0390881 	4.19034 	0.00992918
0.170854 	1.07398e-14 	0.0399883 	3.945 	0.0108363
0.180905 	1.07502e-14 	0.0408885 	3.69966 	0.0117434
0.190955 	1.07605e-14 	0.0417887 	3.45432 	0.0126506
0.201005 	1.07715e-14 	0.0426878 	3.22087 	0.0135634
0.211055 	1.07884e-14 	0.0435768 	3.0945 	0.0145279
0.221106 	1.08053e-14 	0.0444659 	2.96813 	0.0154924
0.231156 	1.08222e-14 	0.0453549 	2.84177 	0.0164568
0.241206 	1.08391e-14 	0.046244 	2.7154 	0.0174213
0.251256 	1.08552e-14 	0.0471276 	2.59546 	0.0183869
0.261307 	1.08655e-14 	0.0479735 	2.52054 	0.0193601
0.271357 	1.08758e-14 	0.0488195 	2.44563 	0.0203334
0.281407 	1.08861e-14 	0.0496654 	2.37071 	0.0213067
0.291457 	1.08964e-14 	0.0505113 	2.29579 	0.0222799
0.301508 	1.09018e-14 	0.0513503 	2.22483 	0.0232502
0.311558 	1.08797e-14 	0.0521496 	2.17627 	0.0242033
0.321608 	1.08575e-14 	0.0529489 	2.12771 	0.0251564
0.331658 	1.08354e-14 	0.0537482 	2.07915 	0.0261096
0.341709 	1.08132e-14 	0.0545475 	2.03058 	0.0270627
0.351759 	1.07964e-14 	0.0553392 	1.98468 	0.0280093
0.361809 	1.08043e-14 	0.0560948 	1.95127 	0.0289254
0.371859 	1.08123e-14 	0.0568503 	1.91786 	0.0298414
0.38191 	1.08202e-14 	0.0576059 	1.88445 	0.0307574
0.39196 	1.08282e-14 	0.0583614 	1.85104 	0.0316734
0.40201 	1.08411e-14 	0.059109 	1.81952 	0.0325801
0.41206 	1.08738e-14 	0.0598245 	1.79556 	0.0334495
0.422111 	1.09065e-14 	0.0605401 	1.77161 	0.0343188
0.432161 	1.09392e-14 	0.0612556 	1.74765 	0.0351882
0.442211 	1.09718e-14 	0.0619712 	1.72369 	0.0360575
0.452261 	1.09739e-14 	0.0626785 	1.70115 	0.0369152
0.462312 	1.08704e-14 	0.0633574 	1.68345 	0.037733
0.472362 	1.07668e-14 	0.0640363 	1.66576 	0.0385508
0.482412 	1.06633e-14 	0.0647152 	1.64807 	0.0393685
0.492462 	1.05598e-14 	0.0653941 	1.63038 	0.0401863
0.502513 	1.04863e-14 	0.0660645 	1.61377 	0.0409907
0.512563 	1.0503e-14 	0.0667094 	1.60042 	0.0417551
0.522613 	1.05197e-14 	0.0673543 	1.58707 	0.0425194
0.532663 	1.05364e-14 	0.0679992 	1.57372 	0.0432837
0.542714 	1.05531e-14 	0.0686441 	1.56037 	0.0440481
0.552764 	1.05733e-14 	0.0692802 	1.54788 	0.0447978
0.562814 	1.06031e-14 	0.0698932 	1.53765 	0.0455088
0.572864 	1.06328e-14 	0.0705061 	1.52741 	0.0462198
0.582915 	1.06625e-14 	0.0711191 	1.51718 	0.0469309
0.592965 	1.06923e-14 	0.0717321 	1.50695 	0.0476419
0.603015 	1.07206e-14 	0.0723359 	1.4974 	0.0483373
0.613065 	1.07455e-14 	0.0729185 	1.48947 	0.0489964
0.623116 	1.07704e-14 	0.0735011 	1.48153 	0.0496555
0.633166 	1.07953e-14 	0.0740837 	1.4736 	0.0503146
0.643216 	1.08203e-14 	0.0746663 	1.46566 	0.0509737
0.653266 	1.08449e-14 	0.0752394 	1.45829 	0.0516166
0.663317 	1.08689e-14 	0.0757928 	1.45208 	0.0522258
0.673367 	1.08929e-14 	0.0763462 	1.44588 	0.0528351
0.683417 	1.09169e-14 	0.0768996 	1.43968 	0.0534444
0.693467 	1.09408e-14 	0.077453 	1.43347 	0.0540536
0.703518 	1.09355e-14 	0.0779965 	1.42773 	0.0546463
0.713568 	1.08756e-14 	0.0785216 	1.42285 	0.0552083
0.723618 	1.08158e-14 	0.0790467 	1.41797 	0.0557703
0.733668 	1.07559e-14 	0.0795718 	1.41309 	0.0563323
0.743719 	1.06961e-14 	0.0800969 	1.40821 	0.0568943
0.753769 	1.07229e-14 	0.0806117 	1.40372 	0.0574396
0.763819 	1.08942e-14 	0.0811092 	1.39987 	0.0579571
0.773869 	1.10656e-14 	0.0816067 	1.39602 	0.0584746
0.78392 	1.12369e-14 	0.0821043 	1.39216 	0.0589921
0.79397 	1.14082e-14 	0.0826018 	1.38831 	0.0595096
