1.500000000000000000e+00 1.500000000000000000e+00 1.500000000000000000e+00 1.500000000000000000e+00 1.500000000000000000e+00 1.500000000000000000e+00 1.500000000000000000e+00 1.500000000000000000e+00 1.500000000000000000e+00 1.500000000000000000e+00
2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00
5.159000000000000252e-01 4.895079999999999987e-01 4.716600000000000237e-01 4.610719999999999819e-01 4.574480000000000213e-01 4.565080000000000249e-01 4.556279999999999775e-01 4.543440000000000256e-01 4.527880000000000238e-01 4.511560000000000015e-01
5.546309999999999851e-01 5.630079999999999529e-01 5.778900000000000148e-01 5.995319999999999538e-01 6.291630000000000278e-01 6.621420000000000083e-01 6.950720000000000232e-01 7.272229999999999528e-01 7.587260000000000115e-01 7.896520000000000206e-01
5.933619999999999450e-01 6.365070000000000450e-01 6.841190000000000326e-01 7.379919999999999813e-01 8.006659999999999888e-01 8.252720000000000056e-01 8.498440000000000438e-01 8.735169999999999879e-01 8.964990000000000459e-01 9.191489999999999938e-01
6.320940000000000447e-01 7.100070000000000547e-01 7.903489999999999682e-01 8.335540000000000171e-01 8.664779999999999704e-01 9.040270000000000250e-01 9.414810000000000123e-01 9.778949999999999587e-01 1.013490000000000002e+00 1.048650000000000082e+00
6.708250000000000046e-01 7.835069999999999535e-01 8.527019999999999600e-01 8.866439999999999877e-01 9.322909999999999808e-01 9.827820000000000444e-01 1.033120000000000038e+00 1.082270000000000065e+00 1.130479999999999929e+00 1.177759999999999918e+00
7.095559999999999645e-01 8.567799999999999860e-01 8.934429999999999872e-01 9.397339999999999582e-01 9.981039999999999912e-01 1.061539999999999928e+00 1.124749999999999917e+00 1.186269999999999936e+00 1.198749999999999982e+00 1.210930000000000062e+00
7.482870000000000354e-01 8.849839999999999929e-01 9.341840000000000144e-01 9.928249999999999575e-01 1.063919999999999977e+00 1.140290000000000026e+00 1.196569999999999911e+00 1.213090000000000002e+00 1.228769999999999918e+00 1.244070000000000009e+00
7.870190000000000241e-01 9.131879999999999997e-01 9.749250000000000416e-01 1.045919999999999961e+00 1.129729999999999901e+00 1.199210000000000109e+00 1.220210000000000017e+00 1.239940000000000042e+00 1.255619999999999958e+00 1.266939999999999955e+00
8.257499999999999840e-01 9.413909999999999778e-01 1.015670000000000073e+00 1.099010000000000042e+00 1.195149999999999935e+00 1.219619999999999926e+00 1.243859999999999966e+00 1.262550000000000061e+00 1.276310000000000056e+00 1.289800000000000058e+00
8.644810000000000549e-01 9.695949999999999847e-01 1.056410000000000071e+00 1.152099999999999902e+00 1.212299999999999933e+00 1.240050000000000097e+00 1.264299999999999979e+00 1.281050000000000022e+00 1.296990000000000087e+00 1.312570000000000014e+00
