1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00 1.199999999999999956e+00
2.999999999999999889e-01 8.110000000000000542e-01 1.320999999999999952e+00 1.832000000000000073e+00 2.342000000000000082e+00 2.853000000000000203e+00 3.362999999999999989e+00 3.874000000000000110e+00 4.384000000000000341e+00 4.894999999999999574e+00 5.405000000000000249e+00 5.916000000000000369e+00 6.426000000000000156e+00 6.937000000000000277e+00 7.447000000000000064e+00 7.958000000000000185e+00 8.467999999999999972e+00 8.978999999999999204e+00 9.489000000000000767e+00 1.000000000000000000e+01 2.999999999999999889e-01 4.889999999999999902e-01 6.780000000000000471e-01 8.669999999999999929e-01 1.056000000000000050e+00 1.243999999999999995e+00 1.433000000000000052e+00 1.622000000000000108e+00 1.810999999999999943e+00 2.000000000000000000e+00
3.105140000000000122e-01 2.522360000000000158e-01 2.535100000000000131e-01 2.622590000000000199e-01 2.751589999999999869e-01 2.853979999999999850e-01 2.967250000000000165e-01 3.030180000000000096e-01 3.070109999999999784e-01 3.096999999999999753e-01 3.089830000000000076e-01 3.104439999999999977e-01 3.114520000000000066e-01 3.122179999999999955e-01 3.127360000000000140e-01 3.114140000000000241e-01 1.139809999999999990e+00 3.120859999999999745e-01 3.122889999999999833e-01 3.110939999999999817e-01 3.105140000000000122e-01 2.744920000000000138e-01 2.602320000000000189e-01 2.533000000000000251e-01 2.498329999999999995e-01 2.574330000000000229e-01 2.563199999999999923e-01 2.570919999999999872e-01 2.592479999999999785e-01 2.622860000000000191e-01
5.726059999999999484e-01 5.013199999999999878e-01 5.032659999999999911e-01 5.202290000000000525e-01 5.456900000000000084e-01 5.707809999999999828e-01 5.926010000000000444e-01 6.044650000000000301e-01 6.119529999999999692e-01 6.168709999999999471e-01 6.179890000000000105e-01 6.203589999999999938e-01 6.219559999999999533e-01 6.230850000000000000e-01 6.238150000000000084e-01 6.228259999999999907e-01 6.232069999999999554e-01 6.234760000000000302e-01 6.236089999999999689e-01 6.224990000000000245e-01 5.726059999999999484e-01 5.280190000000000161e-01 5.101449999999999596e-01 5.019209999999999505e-01 4.984990000000000254e-01 5.061400000000000343e-01 5.070440000000000502e-01 5.109690000000000065e-01 5.171829999999999483e-01 5.248350000000000515e-01
7.791150000000000020e-01 7.459329999999999572e-01 7.478240000000000443e-01 7.723299999999999610e-01 8.098980000000000068e-01 8.554359999999999742e-01 8.866650000000000365e-01 9.031700000000000284e-01 9.135090000000000154e-01 9.200610000000000177e-01 9.262380000000000058e-01 9.288110000000000532e-01 9.304630000000000400e-01 9.314400000000000457e-01 9.319910000000000139e-01 9.334409999999999652e-01 9.333930000000000282e-01 9.331850000000000422e-01 9.328969999999999763e-01 9.335069999999999757e-01 7.791150000000000020e-01 7.560799999999999743e-01 7.469900000000000428e-01 7.442269999999999719e-01 7.451189999999999758e-01 7.436869999999999870e-01 7.503440000000000110e-01 7.602950000000000541e-01 7.728720000000000034e-01 7.870610000000000106e-01
8.752889999999999837e-01 8.414000000000000368e-01 8.436409999999999743e-01 8.712640000000000384e-01 9.132810000000000095e-01 9.629550000000000054e-01 9.962739999999999929e-01 1.013919999999999932e+00 1.024890000000000079e+00 1.031809999999999894e+00 1.038370000000000015e+00 1.041160000000000085e+00 1.042869999999999964e+00 1.043860000000000010e+00 1.044419999999999904e+00 1.045930000000000026e+00 1.045940000000000092e+00 1.045679999999999943e+00 1.045339999999999936e+00 1.045749999999999957e+00 8.752889999999999837e-01 8.517770000000000064e-01 8.422749999999999959e-01 8.394690000000000207e-01 8.406240000000000379e-01 8.388349999999999973e-01 8.464380000000000237e-01 8.577249999999999597e-01 8.719500000000000028e-01 8.877239999999999576e-01
9.220380000000000242e-01 8.682579999999999742e-01 8.712039999999999784e-01 8.999580000000000357e-01 9.427370000000000472e-01 9.879109999999999836e-01 1.018780000000000019e+00 1.035490000000000022e+00 1.045770000000000088e+00 1.052270000000000039e+00 1.056869999999999976e+00 1.059560000000000057e+00 1.061290000000000067e+00 1.062380000000000102e+00 1.063010000000000010e+00 1.063520000000000021e+00 1.063600000000000101e+00 1.063520000000000021e+00 1.063330000000000108e+00 1.063209999999999988e+00 9.220380000000000242e-01 8.874210000000000154e-01 8.728780000000000427e-01 8.672079999999999789e-01 8.665450000000000097e-01 8.690149999999999819e-01 8.751330000000000497e-01 8.854189999999999561e-01 8.989679999999999893e-01 9.144459999999999811e-01
9.444540000000000157e-01 8.934220000000000494e-01 8.967469999999999608e-01 9.263379999999999947e-01 9.696839999999999904e-01 1.012869999999999937e+00 1.040869999999999962e+00 1.056230000000000002e+00 1.065499999999999892e+00 1.071299999999999919e+00 1.075380000000000003e+00 1.077730000000000077e+00 1.079239999999999977e+00 1.080170000000000075e+00 1.080689999999999928e+00 1.081099999999999950e+00 1.081139999999999990e+00 1.081029999999999935e+00 1.080819999999999892e+00 1.080670000000000019e+00 9.444540000000000157e-01 9.119390000000000551e-01 8.978949999999999987e-01 8.924149999999999583e-01 8.918800000000000061e-01 8.944809999999999706e-01 9.007990000000000164e-01 9.113919999999999799e-01 9.253230000000000066e-01 9.411690000000000333e-01
9.690560000000000285e-01 9.187779999999999836e-01 9.223620000000000152e-01 9.527590000000000225e-01 9.966580000000000439e-01 1.037840000000000096e+00 1.062969999999999970e+00 1.076969999999999983e+00 1.085239999999999982e+00 1.090340000000000087e+00 1.093890000000000029e+00 1.095909999999999940e+00 1.097180000000000044e+00 1.097960000000000047e+00 1.098379999999999912e+00 1.098689999999999944e+00 1.098680000000000101e+00 1.098540000000000072e+00 1.098309999999999897e+00 1.098130000000000051e+00 9.690560000000000285e-01 9.370859999999999745e-01 9.232050000000000534e-01 9.177899999999999947e-01 9.173249999999999460e-01 9.200310000000000432e-01 9.265290000000000470e-01 9.374139999999999695e-01 9.517179999999999529e-01 9.679250000000000353e-01
9.907960000000000100e-01 9.438600000000000323e-01 9.476689999999999836e-01 9.788390000000000146e-01 1.023269999999999902e+00 1.062740000000000018e+00 1.084959999999999924e+00 1.097569999999999935e+00 1.104829999999999979e+00 1.109210000000000029e+00 1.112340000000000106e+00 1.114009999999999945e+00 1.115040000000000031e+00 1.115639999999999965e+00 1.115939999999999932e+00 1.116219999999999990e+00 1.116149999999999975e+00 1.115979999999999972e+00 1.115720000000000045e+00 1.115550000000000042e+00 9.907960000000000100e-01 9.608750000000000346e-01 9.477929999999999966e-01 9.427969999999999962e-01 9.426250000000000462e-01 9.449650000000000549e-01 9.518370000000000442e-01 9.631629999999999914e-01 9.779569999999999652e-01 9.946230000000000349e-01
