1.000000000000000056e-01 4.219999999999999862e-01 7.439999999999999947e-01 1.066999999999999948e+00 1.389000000000000012e+00 1.711000000000000076e+00 2.032999999999999918e+00 2.355999999999999872e+00 2.677999999999999936e+00 3.000000000000000000e+00
2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00 2.500000000000000000e+00
3.636339999999999711e-02 1.408119999999999927e-01 2.327639999999999987e-01 3.274469999999999881e-01 4.238879999999999870e-01 5.215840000000000476e-01 6.201480000000000325e-01 7.196679999999999744e-01 8.193719999999999892e-01 9.194639999999999480e-01
5.001329999999999665e-02 1.936700000000000088e-01 3.201370000000000049e-01 4.503619999999999846e-01 5.830049999999999955e-01 7.173739999999999561e-01 8.529360000000000275e-01 9.898139999999999716e-01 1.126940000000000053e+00 1.264610000000000012e+00
6.364559999999999662e-02 2.464610000000000134e-01 4.074030000000000151e-01 5.731260000000000243e-01 7.419259999999999744e-01 9.129220000000000113e-01 1.085439999999999960e+00 1.259630000000000027e+00 1.434139999999999970e+00 1.609320000000000084e+00
6.847200000000000508e-02 2.661680000000000157e-01 4.409310000000000174e-01 6.203699999999999770e-01 8.029579999999999496e-01 9.878569999999999851e-01 1.174360000000000070e+00 1.362659999999999982e+00 1.551279999999999992e+00 1.740609999999999991e+00
7.329839999999999967e-02 2.858760000000000190e-01 4.744590000000000196e-01 6.676140000000000407e-01 8.639900000000000357e-01 1.062789999999999901e+00 1.263290000000000024e+00 1.465689999999999937e+00 1.668420000000000014e+00 1.871899999999999897e+00
7.812470000000000525e-02 3.055829999999999935e-01 5.079869999999999663e-01 7.148579999999999934e-01 9.250220000000000109e-01 1.137729999999999908e+00 1.352219999999999978e+00 1.568719999999999892e+00 1.785560000000000036e+00 2.003190000000000026e+00
8.295109999999999983e-02 3.252900000000000236e-01 5.415149999999999686e-01 7.621019999999999461e-01 9.860539999999999861e-01 1.212660000000000071e+00 1.441149999999999931e+00 1.671750000000000069e+00 1.902700000000000058e+00 2.134479999999999933e+00
8.777749999999999442e-02 3.449980000000000269e-01 5.750429999999999708e-01 8.093460000000000099e-01 1.047090000000000076e+00 1.287600000000000078e+00 1.530080000000000107e+00 1.774780000000000024e+00 2.019839999999999858e+00 2.265769999999999840e+00
9.256970000000000476e-02 3.645809999999999884e-01 6.083730000000000526e-01 8.563129999999999908e-01 1.107760000000000078e+00 1.362090000000000023e+00 1.618470000000000075e+00 1.877189999999999914e+00 2.136280000000000179e+00 2.396269999999999900e+00
9.312239999999999407e-02 3.687549999999999994e-01 6.171759999999999469e-01 8.688529999999999864e-01 1.123739999999999961e+00 1.381429999999999936e+00 1.641129999999999978e+00 1.903149999999999897e+00 2.165500000000000203e+00 2.428749999999999964e+00
9.367509999999999726e-02 3.729299999999999837e-01 6.259799999999999809e-01 8.813919999999999533e-01 1.139720000000000066e+00 1.400770000000000071e+00 1.663790000000000102e+00 1.929110000000000102e+00 2.194729999999999848e+00 2.461219999999999963e+00
9.422800000000000620e-02 3.771079999999999988e-01 6.347899999999999654e-01 8.939409999999999856e-01 1.155710000000000015e+00 1.420120000000000049e+00 1.686460000000000070e+00 1.955079999999999929e+00 2.223970000000000002e+00 2.493710000000000093e+00
9.477869999999999351e-02 3.812690000000000246e-01 6.435670000000000002e-01 9.064429999999999987e-01 1.171640000000000015e+00 1.439400000000000013e+00 1.709049999999999958e+00 1.980960000000000054e+00 2.253109999999999946e+00 2.526089999999999947e+00
9.514110000000000622e-02 3.840729999999999977e-01 6.495959999999999512e-01 9.151000000000000245e-01 1.182700000000000085e+00 1.452779999999999960e+00 1.724730000000000096e+00 1.998930000000000096e+00 2.273340000000000138e+00 2.548560000000000159e+00
9.550359999999999405e-02 3.868770000000000264e-01 6.556250000000000133e-01 9.237560000000000215e-01 1.193750000000000089e+00 1.466169999999999973e+00 1.740420000000000078e+00 2.016900000000000137e+00 2.293569999999999887e+00 2.571029999999999927e+00
9.586600000000000676e-02 3.896809999999999996e-01 6.616539999999999644e-01 9.324130000000000473e-01 1.204809999999999937e+00 1.479559999999999986e+00 1.756099999999999994e+00 2.034870000000000179e+00 2.313800000000000079e+00 2.593510000000000204e+00
9.622849999999999460e-02 3.924849999999999728e-01 6.676830000000000265e-01 9.410690000000000444e-01 1.215859999999999941e+00 1.492949999999999999e+00 1.771789999999999976e+00 2.052840000000000220e+00 2.334020000000000206e+00 2.615979999999999972e+00
9.659089999999999343e-02 3.952890000000000015e-01 6.737130000000000063e-01 9.497259999999999591e-01 1.226920000000000011e+00 1.506329999999999947e+00 1.787479999999999958e+00 2.070809999999999818e+00 2.354249999999999954e+00 2.638459999999999805e+00
9.694999999999999452e-02 3.980690000000000062e-01 6.796919999999999629e-01 9.583120000000000527e-01 1.237889999999999935e+00 1.519609999999999905e+00 1.803039999999999976e+00 2.088630000000000209e+00 2.374319999999999986e+00 2.660750000000000171e+00
9.712189999999999712e-02 3.994989999999999930e-01 6.829399999999999915e-01 9.630760000000000431e-01 1.244010000000000060e+00 1.527039999999999953e+00 1.811739999999999906e+00 2.098599999999999799e+00 2.385530000000000150e+00 2.673200000000000021e+00
9.729390000000000260e-02 4.009289999999999798e-01 6.861880000000000202e-01 9.678390000000000049e-01 1.250129999999999963e+00 1.534459999999999935e+00 1.820440000000000058e+00 2.108560000000000212e+00 2.396749999999999936e+00 2.685659999999999936e+00
9.746609999999999996e-02 4.023619999999999974e-01 6.894430000000000280e-01 9.726129999999999498e-01 1.256259999999999932e+00 1.541900000000000048e+00 1.829150000000000054e+00 2.118539999999999868e+00 2.407979999999999787e+00 2.698129999999999917e+00
9.763739999999999919e-02 4.037879999999999803e-01 6.926839999999999664e-01 9.773669999999999858e-01 1.262359999999999927e+00 1.549309999999999965e+00 1.837839999999999918e+00 2.128490000000000215e+00 2.419179999999999886e+00 2.710560000000000080e+00
9.776840000000000530e-02 4.048919999999999741e-01 6.952890000000000459e-01 9.812680000000000291e-01 1.267409999999999926e+00 1.555439999999999934e+00 1.845040000000000013e+00 2.136740000000000084e+00 2.428469999999999906e+00 2.720880000000000187e+00
9.789939999999999753e-02 4.059960000000000235e-01 6.978940000000000143e-01 9.851680000000000437e-01 1.272459999999999924e+00 1.561579999999999968e+00 1.852240000000000109e+00 2.145000000000000018e+00 2.437759999999999927e+00 2.731199999999999850e+00
9.803030000000000077e-02 4.070989999999999887e-01 7.004989999999999828e-01 9.890679999999999472e-01 1.277500000000000080e+00 1.567720000000000002e+00 1.859450000000000047e+00 2.153259999999999952e+00 2.447049999999999947e+00 2.741530000000000022e+00
9.816130000000000688e-02 4.082029999999999825e-01 7.031039999999999512e-01 9.929679999999999618e-01 1.282550000000000079e+00 1.573860000000000037e+00 1.866649999999999920e+00 2.161509999999999820e+00 2.456350000000000033e+00 2.751850000000000129e+00
9.829229999999999912e-02 4.093069999999999764e-01 7.057090000000000307e-01 9.968679999999999763e-01 1.287600000000000078e+00 1.579990000000000006e+00 1.873850000000000016e+00 2.169770000000000199e+00 2.465640000000000054e+00 2.762169999999999792e+00
9.842209999999999848e-02 4.104010000000000158e-01 7.082960000000000367e-01 1.000739999999999963e+00 1.292610000000000037e+00 1.586100000000000065e+00 1.881010000000000071e+00 2.177970000000000184e+00 2.474880000000000191e+00 2.772429999999999950e+00
