0 	0 	0 	0
0.0100503 	0.405683 	-7.86305e-16 	-6.05747e-17
0.0201005 	0.811365 	-1.57261e-15 	-1.21149e-16
0.0301508 	1.21705 	-2.35892e-15 	-1.81724e-16
0.040201 	1.62273 	-3.14522e-15 	-2.42299e-16
0.0502513 	2.01917 	-3.9125e-15 	-3.037e-16
0.0603015 	2.05499 	-3.93783e-15 	-3.97361e-16
0.0703518 	2.09081 	-3.96316e-15 	-4.91022e-16
0.080402 	2.12663 	-3.98849e-15 	-5.84683e-16
0.0904523 	2.16245 	-4.01382e-15 	-6.78343e-16
0.100503 	2.19728 	-4.03703e-15 	-7.71749e-16
0.110553 	2.21333 	-4.02009e-15 	-8.60314e-16
0.120603 	2.22938 	-4.00315e-15 	-9.48879e-16
0.130653 	2.24543 	-3.98621e-15 	-1.03744e-15
0.140704 	2.26148 	-3.96927e-15 	-1.12601e-15
0.150754 	2.27715 	-3.95239e-15 	-1.21108e-15
0.160804 	2.28814 	-3.93623e-15 	-1.25305e-15
0.170854 	2.29913 	-3.92007e-15 	-1.29503e-15
0.180905 	2.31012 	-3.90391e-15 	-1.337e-15
0.190955 	2.32111 	-3.88775e-15 	-1.37898e-15
0.201005 	2.33185 	-3.8726e-15 	-1.42377e-15
0.211055 	2.34033 	-3.8665e-15 	-1.49393e-15
0.221106 	2.34881 	-3.8604e-15 	-1.56409e-15
0.231156 	2.3573 	-3.85429e-15 	-1.63425e-15
0.241206 	2.36578 	-3.84819e-15 	-1.7044e-15
0.251256 	2.37407 	-3.83933e-15 	-1.7751e-15
0.261307 	2.38105 	-3.81112e-15 	-1.84955e-15
0.271357 	2.38803 	-3.78292e-15 	-1.924e-15
0.281407 	2.39501 	-3.75471e-15 	-1.99845e-15
0.291457 	2.40198 	-3.7265e-15 	-2.07289e-15
0.301508 	2.40882 	-3.69561e-15 	-2.13833e-15
0.311558 	2.41482 	-3.6495e-15 	-2.15273e-15
0.321608 	2.42082 	-3.60339e-15 	-2.16712e-15
0.331658 	2.42682 	-3.55728e-15 	-2.18151e-15
0.341709 	2.43283 	-3.51117e-15 	-2.1959e-15
0.351759 	2.43871 	-3.46563e-15 	-2.21006e-15
0.361809 	2.44403 	-3.42276e-15 	-2.22315e-15
0.371859 	2.44936 	-3.37989e-15 	-2.23624e-15
